team1,team2,winner,bo,score1,score2,weight
G2,FUR,G2,Bo5,3,2,0.316227766
BLG,GAM,BLG,Bo7,4,1,0.23570226
FUR,GAM,GAM,Bo5,2,3,0.40824829
G2,BLG,BLG,Bo7,1,4,0.182574186
G2,GAM,G2,Bo5,3,2,0.25819889
GenG,G2,GenG,Bo5,3,1,0.25819889
AL,Fly,AL,Bo5,3,1,0.288675135
CFO,T1,T1,Bo5,2,3,0.333333333
KOI,BLG,BLG,Bo5,1,3,0.288675135
G2,Fly,Fly,Bo7,1,4,0.25819889
CFO,KOI,CFO,Bo5,3,1,0.40824829
GenG,AL,GenG,Bo5,3,2,0.288675135
T1,BLG,T1,Bo7,4,1,0.23570226
BLG,Fly,BLG,Bo5,3,2,0.23570226
AL,CFO,AL,Bo5,3,1,0.288675135
GenG,T1,GenG,Bo5,3,2,0.333333333
BLG,AL,AL,Bo5,1,4,0.204124145
