team1,team2,winner,bo,score1,score2
MAD,VKE,MAD,Bo3,2,0
PSG,PNG,PSG,Bo3,2,1
GAM,SHG,GAM,Bo3,2,0
100T,R7,R7,Bo3,1,2
VKE,PNG,PNG,Bo3,0,2
SHG,100T,100T,Bo3,0,2
MAD,PSG,MAD,Bo3,2,1
GAM,R7,GAM,Bo3,2,0
R7,PNG,PNG,Bo3,1,2
PSG,100T,PSG,Bo3,2,0
GenG,WBG,GenG,Bo1,1,0
GenG,TES,GenG,Bo1,1,0
GenG,HLE,GenG,Bo3,2,1
LNG,TL,LNG,Bo1,1,0
LNG,BLG,LNG,Bo1,1,0
LNG,DK,LNG,Bo3,2,0
HLE,PSG,HLE,Bo1,1,0
HLE,G2,HLE,Bo1,1,0
HLE,Fly,HLE,Bo3,2,1
T1,PNG,T1,Bo1,1,0
T1,BLG,T1,Bo1,1,0
T1,G2,T1,Bo3,2,0
TES,T1,TES,Bo1,1,0
TES,FNC,TES,Bo1,1,0
TES,DK,TES,Bo3,2,0
BLG,MAD,BLG,Bo1,1,0
BLG,PSG,BLG,Bo3,2,0
BLG,G2,BLG,Bo3,2,1
Fly,GAM,Fly,Bo1,1,0
Fly,PSG,Fly,Bo1,1,0
Fly,TL,Fly,Bo3,2,1
WBG,TL,WBG,Bo1,1,0
WBG,FNC,WBG,Bo3,2,1
WBG,DK,WBG,Bo3,2,1
DK,FNC,DK,Bo1,1,0
DK,Fly,DK,Bo1,1,0
G2,PNG,G2,Bo1,1,0
G2,WBG,G2,Bo1,1,0
TL,PNG,TL,Bo3,2,0
TL,GAM,TL,Bo3,2,1
FNC,GAM,FNC,Bo1,1,0
GAM,MAD,GAM,Bo3,2,1
PSG,MAD,PSG,Bo1,1,0
LNG,WBG,WBG,Bo5,1,3
HLE,BLG,BLG,Bo5,1,3
TES,T1,T1,Bo5,0,3
GenG,Fly,GenG,Bo5,3,2
WBG,BLG,BLG,Bo5,0,3
T1,GenG,T1,Bo5,3,1
BLG,T1,T1,Bo5,2,3
